id,age,dia,ht,nha,ba,vol,carbon,dom_sp,dom_sp_share,lat,lon,year
 512A1,112,49.3,33,241,46,606,255,FS,96,48.21,16.16,2023
 513A2,47,14,16,1888,29,230,96.8,FS,57,48.21,16.16,2023
513B1,132,54.3,34,151,35,483,203.2,FS,100,48.21,16.16,2023
513B2,22,12.8,15,1159,15,102,42.9,FS,68,48.21,16.16,2023
514C0,62,31.1,27,356,27,327,137.6,FS,93,48.21,16.16,2023
519A0,62,32,28,435,35,399,167.9,FS,92,48.21,16.16,2023
519B1,137,44.4,33,290,45,561,236,FS,94,48.21,16.16,2023
631C1,162,37.3,29,449,49,553,232.7,FS,97,48.21,16.16,2023
652C1,112,47.1,32,224,39,486,204.5,FS,97,48.21,16.16,2023
_701E3,47,13.6,16,2487,36,287,120.8,FS,86,48.21,16.16,2023
707A3,27,10.7,12,2241,20,130,54.7,FS,76,48.21,16.16,2023
520A2,7,1.8,3.9,23776,6.0,0,0,FS,80,48.21,16.16,2023
116B2,10,1,2.8,2270,0.2,0,0,FS,80,48.21,16.16,2023
